3, channel 3 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
4143
Wavenumber (cm-1)   Filter response
    13870.000000       0.000048
    13871.000000       0.000047
    13872.000000       0.000047
    13873.000000       0.000046
    13874.000000       0.000046
    13875.000000       0.000045
    13876.000000       0.000045
    13877.000000       0.000044
    13878.000000       0.000043
    13879.000000       0.000043
    13880.000000       0.000042
    13881.000000       0.000041
    13882.000000       0.000041
    13883.000000       0.000040
    13884.000000       0.000040
    13885.000000       0.000039
    13886.000000       0.000039
    13887.000000       0.000039
    13888.000000       0.000039
    13889.000000       0.000039
    13890.000000       0.000039
    13891.000000       0.000039
    13892.000000       0.000039
    13893.000000       0.000039
    13894.000000       0.000039
    13895.000000       0.000039
    13896.000000       0.000039
    13897.000000       0.000039
    13898.000000       0.000040
    13899.000000       0.000040
    13900.000000       0.000040
    13901.000000       0.000041
    13902.000000       0.000041
    13903.000000       0.000041
    13904.000000       0.000041
    13905.000000       0.000042
    13906.000000       0.000042
    13907.000000       0.000043
    13908.000000       0.000043
    13909.000000       0.000043
    13910.000000       0.000044
    13911.000000       0.000045
    13912.000000       0.000046
    13913.000000       0.000047
    13914.000000       0.000048
    13915.000000       0.000049
    13916.000000       0.000051
    13917.000000       0.000052
    13918.000000       0.000053
    13919.000000       0.000055
    13920.000000       0.000056
    13921.000000       0.000058
    13922.000000       0.000059
    13923.000000       0.000060
    13924.000000       0.000062
    13925.000000       0.000063
    13926.000000       0.000064
    13927.000000       0.000065
    13928.000000       0.000066
    13929.000000       0.000067
    13930.000000       0.000068
    13931.000000       0.000068
    13932.000000       0.000069
    13933.000000       0.000070
    13934.000000       0.000071
    13935.000000       0.000072
    13936.000000       0.000073
    13937.000000       0.000074
    13938.000000       0.000074
    13939.000000       0.000075
    13940.000000       0.000076
    13941.000000       0.000077
    13942.000000       0.000077
    13943.000000       0.000077
    13944.000000       0.000078
    13945.000000       0.000078
    13946.000000       0.000078
    13947.000000       0.000078
    13948.000000       0.000078
    13949.000000       0.000078
    13950.000000       0.000078
    13951.000000       0.000078
    13952.000000       0.000077
    13953.000000       0.000077
    13954.000000       0.000077
    13955.000000       0.000076
    13956.000000       0.000076
    13957.000000       0.000075
    13958.000000       0.000075
    13959.000000       0.000074
    13960.000000       0.000074
    13961.000000       0.000073
    13962.000000       0.000073
    13963.000000       0.000073
    13964.000000       0.000072
    13965.000000       0.000072
    13966.000000       0.000072
    13967.000000       0.000072
    13968.000000       0.000072
    13969.000000       0.000072
    13970.000000       0.000072
    13971.000000       0.000072
    13972.000000       0.000072
